TransactionAmount,TransactionDuration,CustomerAge,AccountBalance,Cluster,TransactionType,Channel
14.09,81.0,70.0,5112.21,4,Debit,ATM
376.24,141.0,68.0,13758.91,4,Debit,ATM
126.29000000000002,56.0,19.0,1122.35,1,Debit,Online
184.5,25.000000000000004,26.0,8569.06,1,Debit,Online
13.45,198.0,26.0,7429.4,3,Credit,Online
92.15,172.0,18.0,781.68,4,Debit,ATM
7.08,139.0,37.0,13316.71,3,Credit,ATM
171.42,291.0,67.0,2796.24,3,Credit,Branch
106.23,86.0,51.0,9095.14,3,Credit,Branch
815.96,120.0,55.0,1021.8800000000001,4,Debit,ATM
17.78,59.00000000000001,52.0,7599.5199999999995,3,Credit,Online
190.02,173.0,21.0,1528.81,1,Debit,Online
494.52,111.0,24.0,1620.02,3,Credit,Branch
781.76,123.0,26.0,189.69,4,Debit,ATM
166.99,134.0,18.0,299.93,1,Debit,Online
465.45,129.0,36.0,3465.54,4,Debit,ATM
555.8,158.0,19.0,1131.26,3,Credit,Branch
492.93000000000006,234.0,39.0,5109.97,1,Debit,Online
18.68,106.0,59.0,7948.369999999999,3,Credit,Branch
71.48,169.0,18.0,6568.59,3,Credit,Online
59.32,37.99999999999999,71.0,5750.89,2,Debit,Branch
85.77,93.0,38.0,9146.19,2,Debit,Branch
52.2,120.0,39.0,8974.93,1,Debit,Online
345.84,142.0,22.0,1402.5,1,Debit,Online
145.54,96.0,21.0,1930.96,1,Debit,Online
7.49,276.0,65.0,3634.67,3,Credit,Online
246.93,158.0,23.0,673.3499999999999,4,Debit,ATM
40.32,95.0,37.0,2686.52,2,Debit,Branch
127.45,197.0,44.0,1772.06,1,Debit,Online
56.17,283.0,27.0,1351.69,2,Debit,Branch
28.31,20.0,59.0,8334.47,3,Credit,Online
59.12,257.0,29.0,9823.64,4,Debit,ATM
396.45,168.00000000000003,49.0,9690.15,4,Debit,ATM
877.81,150.0,22.0,399.0,1,Debit,Online
255.26000000000002,50.00000000000001,45.0,14815.87,3,Credit,Branch
124.76,45.0,49.0,5764.72,2,Debit,Branch
78.13,145.0,26.0,900.61,2,Debit,Branch
649.28,137.0,75.0,4875.86,4,Debit,ATM
795.31,90.0,66.0,7914.879999999999,4,Debit,ATM
335.63,215.99999999999997,55.0,1019.39,1,Debit,Online
328.47,119.0,63.0,4323.66,4,Debit,ATM
34.02,18.999999999999996,38.0,14214.48,1,Debit,Online
241.41999999999996,116.00000000000001,57.0,13357.02,3,Credit,Online
55.32,117.0,19.0,241.79000000000002,4,Debit,ATM
304.31,33.0,27.0,868.61,2,Debit,Branch
435.27,90.0,74.0,4673.28,2,Debit,Branch
164.49,75.0,26.0,1509.27,2,Debit,Branch
510.24,105.0,19.0,781.7,1,Debit,Online
626.9,138.0,26.0,265.51,1,Debit,Online
22.01,175.0,41.0,1335.09,3,Credit,Online
425.34,121.0,69.0,3907.5399999999995,3,Credit,Online
424.56,264.0,51.0,5183.85,1,Debit,Online
85.43,145.0,67.0,14904.9,2,Debit,Branch
169.5,142.0,28.0,918.8799999999999,2,Debit,Branch
104.63,90.0,62.0,4477.78,4,Debit,ATM
316.95,83.0,25.0,1324.03,2,Debit,Branch
60.54,52.00000000000001,57.0,3534.93,3,Credit,Branch
292.56,61.00000000000001,68.0,4638.37,3,Credit,Branch
386.52,28.0,48.0,5630.61,2,Debit,Branch
112.07,51.00000000000001,23.0,930.3,2,Debit,Branch
568.52,151.99999999999997,46.0,5499.91,4,Debit,ATM
263.99,227.0,79.0,4175.02,2,Debit,Branch
349.64,226.0,48.0,6651.62,1,Debit,Online
601.4,104.0,56.0,8458.29,3,Credit,Branch
5.77,123.99999999999999,50.0,13988.12,1,Debit,Online
201.33,186.0,42.0,2585.07,3,Credit,Branch
298.42,225.0,56.0,3014.75,2,Debit,Branch
521.06,128.0,25.0,1951.42,2,Debit,Branch
117.27999999999999,16.0,60.0,3665.77,3,Credit,Online
189.12,103.0,32.0,977.01,3,Credit,Branch
133.55,220.0,44.0,3846.2800000000007,4,Debit,ATM
143.21,135.0,35.0,6374.82,1,Debit,Online
24.77,55.0,62.0,5866.01,4,Debit,ATM
233.91999999999996,280.0,26.0,6537.62,3,Credit,Online
913.49125,24.0,20.0,605.9499999999999,2,Debit,Branch
232.12000000000003,51.00000000000001,37.0,6689.87,4,Debit,ATM
162.63,113.0,22.0,634.17,1,Debit,Online
91.53,69.00000000000001,44.0,14676.05,2,Debit,Branch
120.29,77.0,19.0,1362.39,2,Debit,Branch
174.25,67.0,50.0,10528.34,1,Debit,Online
183.71,102.0,38.0,552.52,4,Debit,ATM
345.39,80.0,58.0,6451.96,3,Credit,Online
913.49125,87.0,63.0,4715.84,4,Debit,ATM
259.91,170.0,49.0,7176.86,1,Debit,Online
154.71,157.0,34.0,1523.72,1,Debit,Online
913.49125,30.0,54.0,8654.28,3,Credit,Online
24.56,69.00000000000001,64.0,9869.93,2,Debit,Branch
568.07,115.0,48.0,10556.81,4,Debit,ATM
9.61,179.0,58.0,12883.91,3,Credit,Online
392.96,100.00000000000001,24.0,791.65,1,Debit,Online
716.93,34.0,60.0,4064.02,3,Credit,Online
223.85,55.0,53.0,2929.91,4,Debit,ATM
230.66,135.0,21.0,618.05,2,Debit,Branch
442.12,260.0,19.0,1375.8,1,Debit,Online
644.17,72.0,29.0,1143.52,4,Debit,ATM
508.68000000000006,127.0,51.0,7708.41,3,Credit,Branch
858.63,185.0,27.0,1872.96,3,Credit,Branch
25.36,78.0,57.0,201.04,4,Debit,ATM
147.62,133.0,71.0,2115.8,2,Debit,Branch
115.01999999999998,175.0,37.0,7643.66,2,Debit,Branch
383.37,24.0,30.0,8901.93,2,Debit,Branch
98.54,167.0,20.0,9383.43,3,Credit,Online
83.24,164.0,55.0,1181.31,3,Credit,Branch
196.16,146.0,27.0,9418.86,2,Debit,Branch
129.94,235.0,32.0,7954.919999999999,4,Debit,ATM
306.9,51.00000000000001,46.0,9418.08,1,Debit,Online
114.98,80.0,59.0,6144.68,1,Debit,Online
756.59,17.0,27.0,420.65,2,Debit,Branch
503.75999999999993,35.0,22.0,447.82,1,Debit,Online
143.03,147.0,63.0,7981.450000000001,4,Debit,ATM
913.49125,73.0,53.0,1829.9,4,Debit,ATM
245.54,180.0,25.0,985.0600000000001,4,Debit,ATM
254.37,174.0,51.0,8849.26,3,Credit,Online
213.76,282.0,78.0,3528.72,3,Credit,ATM
327.86,104.0,40.0,480.16,1,Debit,Online
2.5,107.0,47.0,12145.27,1,Debit,Online
300.08,47.0,68.0,13546.75,3,Credit,Online
56.98,122.0,43.0,5688.37,3,Credit,ATM
407.65,61.99999999999999,26.0,8346.64,1,Debit,Online
115.83,167.0,39.0,6481.04,2,Debit,Branch
53.57,121.0,69.0,1651.33,4,Debit,ATM
63.34,165.0,46.0,11174.94,3,Credit,Online
317.87,91.0,27.0,145.5,1,Debit,Online
331.65,61.00000000000001,41.0,4172.57,1,Debit,Online
5.04,41.0,56.0,5558.36,4,Debit,ATM
214.54,247.0,70.0,11151.53,3,Credit,Online
598.81,158.0,57.0,1415.52,2,Debit,Branch
841.28,80.0,26.0,1103.64,1,Debit,Online
38.15,107.99999999999999,26.0,303.68,1,Debit,Online
913.49125,144.0,58.0,5541.57,2,Debit,Branch
124.71999999999998,105.0,33.0,6309.8,2,Debit,Branch
302.45,40.0,78.0,5133.61,3,Credit,Branch
208.04,273.0,47.0,9344.98,1,Debit,Online
5.77,254.0,23.0,1117.97,3,Credit,Branch
381.33,75.0,56.0,11835.35,4,Debit,ATM
16.16,123.99999999999999,50.0,14401.17,4,Debit,ATM
486.08,68.00000000000001,18.0,1748.69,1,Debit,Online
336.39,18.0,21.0,1000.46,2,Debit,Branch
913.49125,118.0,69.0,6810.05,1,Debit,Online
234.56999999999996,120.0,23.0,263.98,1,Debit,Online
6.0,246.0,30.0,5442.76,1,Debit,Online
913.49125,21.000000000000004,80.0,2037.85,4,Debit,ATM
227.14,294.0,18.0,341.94,4,Debit,ATM
233.74,17.0,66.0,1066.59,3,Credit,Online
113.02,166.0,69.0,6077.96,3,Credit,Branch
45.85,91.99999999999999,20.0,1659.15,4,Debit,ATM
913.49125,296.0,77.0,2042.22,2,Debit,Branch
514.95,142.0,41.0,421.93,1,Debit,Online
415.5,141.0,66.0,10113.66,4,Debit,ATM
265.76,91.99999999999999,54.0,4446.17,1,Debit,Online
69.4,113.0,80.0,6452.77,1,Debit,Online
332.93,293.0,35.0,2788.2,3,Credit,Branch
267.9,160.0,20.0,596.1599999999999,1,Debit,Online
496.03,265.0,61.0,12904.66,2,Debit,Branch
376.26,245.0,37.0,9062.4,4,Debit,ATM
83.02,171.0,36.0,9009.56,3,Credit,Online
93.26,72.0,20.0,1152.2,3,Credit,Online
803.37,129.0,68.0,12168.37,3,Credit,Branch
35.76,122.0,23.0,611.8599999999999,2,Debit,Branch
28.53,99.0,62.0,8670.53,1,Debit,Online
139.53,177.0,53.0,10098.86,3,Credit,Online
307.57,285.0,33.0,5307.74,2,Debit,Branch
60.65,53.00000000000001,56.0,1047.28,3,Credit,Branch
74.86,125.0,70.0,6921.48,2,Debit,Branch
117.97,137.0,51.0,1475.46,2,Debit,Branch
231.91,165.0,34.0,112.76,4,Debit,ATM
126.21,268.0,75.0,5669.66,2,Debit,Branch
506.2799999999999,162.0,53.0,1309.95,3,Credit,Online
304.35,36.0,31.0,4057.1,2,Debit,Branch
281.85,109.0,22.0,1585.98,4,Debit,ATM
777.88,17.0,31.0,6825.55,2,Debit,Branch
119.17999999999999,96.0,56.0,5516.5,2,Debit,Branch
177.19,43.0,76.0,5343.3,1,Debit,Online
260.88,36.0,22.0,903.05,2,Debit,Branch
169.47,18.999999999999996,24.0,1806.16,1,Debit,Online
73.23,14.0,26.0,787.7399999999999,2,Debit,Branch
913.49125,106.0,29.0,2429.68,4,Debit,ATM
792.57,164.0,19.0,770.37,4,Debit,ATM
237.06,45.99999999999999,71.0,1182.77,1,Debit,Online
34.17,53.99999999999999,54.0,726.55,3,Credit,Online
740.25,123.0,41.0,14464.3,1,Debit,Online
453.54,82.0,58.0,12046.3,4,Debit,ATM
300.47,100.00000000000001,73.0,7885.64,2,Debit,Branch
110.93,201.0,19.0,1952.3499999999997,3,Credit,Branch
201.69,299.0,59.0,7328.52,4,Debit,ATM
399.21,109.0,59.0,3210.39,4,Debit,ATM
913.49125,57.0,78.0,5726.2,1,Debit,Online
630.36,52.00000000000001,62.0,1363.65,4,Debit,ATM
10.94,245.0,60.0,1241.99,3,Credit,ATM
215.9,235.0,38.0,7873.280000000001,4,Debit,ATM
913.49125,165.0,79.0,5674.32,2,Debit,Branch
226.37,141.0,49.0,9840.04,3,Credit,Branch
444.89,101.0,43.0,10328.23,3,Credit,Branch
280.57,24.0,25.0,293.24,3,Credit,Online
488.54,132.0,52.0,7486.63,2,Debit,Branch
3.3,131.0,50.0,11385.37,3,Credit,Branch
199.39,165.0,69.0,7264.79,2,Debit,Branch
20.36,75.0,62.0,2762.48,2,Debit,Branch
113.64,32.0,62.0,6675.03,1,Debit,Online
493.11,236.0,53.0,7432.99,2,Debit,Branch
307.41,14.0,19.0,1057.0,4,Debit,ATM
11.18,161.0,43.0,5956.89,1,Debit,Online
313.82,151.0,59.0,7261.59,2,Debit,Branch
51.0,107.0,64.0,4943.16,2,Debit,Branch
140.98,100.00000000000001,60.0,8127.4800000000005,2,Debit,Branch
288.04,63.0,68.0,1748.02,4,Debit,ATM
800.55,107.99999999999999,31.0,9660.22,4,Debit,ATM
485.5400000000001,143.0,46.0,6371.51,4,Debit,ATM
521.15,214.0,54.0,9442.47,4,Debit,ATM
321.79,61.00000000000001,63.0,5959.2,3,Credit,ATM
304.93,158.0,65.0,13531.22,4,Debit,ATM
432.08,145.0,40.0,11500.62,4,Debit,ATM
694.2,72.0,61.0,1389.37,4,Debit,ATM
116.86000000000001,171.0,55.0,6706.56,4,Debit,ATM
386.81,149.0,57.0,7175.29,3,Credit,Online
74.88,202.0,25.0,420.67,4,Debit,ATM
195.76,99.0,75.0,7323.53,2,Debit,Branch
134.7,106.0,50.0,8395.85,4,Debit,ATM
